nombre,nombre_completo,apellido_paterno,apellidos_completos,documento_identidad,ruc,pasaporte,telefono_fijo,telefono_celular,correo_electronico,direccion_completa,genero,raza_etnia,religion,orientacion_sexual,discapacidad,nivel_educativo_padres,fecha_nacimiento,departamento,provincia,distrito,codigo_ubigeo,latitud,longitud,monto_transaccion,edad,ocupacion,fecha_formato_patron,direccion_ip,numero_tarjeta,iban
Brígida,Brígida Francisco Barriga,Francisco,Francisco Barriga,26461652,10264616527,SS811321,(07) 455048,+51950827216,brígida.francisco@supermercados.com,Paseo Nilda Cabañas 310,Femenino,Afroperuana,Católica,LGBTQ+,True,Universitario,1985-03-24,Lima,Lima,Miraflores,150122,-12.137911846780211,-77.05242165782772,3399.03,40,Diseñador de prendas,24/03/1985,24.69.234.90,4366-XXXX-XXXX-5768,PE84556588733346295580
Samu,Samu Serra Niño,Serra,Serra Niño,85605975,20856059751,ZC474666,(03) 077334,+51984484770,samu.serra@grupo.es,Callejón de Jose Cardona 1 Piso 6 ,No Binario,Mestiza,Otras,N/A,False,Secundaria,2002-04-10,Junín,Huancayo,El Tambo,120101,-12.06969274252098,-75.24394443152515,2055.58,23,"Supervisor de mantenimiento y limpieza en oficinas, hoteles y otros establecimientos",10/04/2002,165.0.86.111,4514-XXXX-XXXX-3660,PE19805773249422752801
Ana Sofía,Ana Sofía Sandoval Chacón,Sandoval,Sandoval Chacón,54538949,10545389496,ZH506984,(03) 866256,+51913063158,ana sofía.sandoval@suministros.net,Alameda Clementina Barberá 112,Femenino,Andina,Agnóstica,LGBTQ+,False,Técnico,1998-01-14,Arequipa,Arequipa,Yanahuara,040127,-16.38478592744423,-71.52804599335873,5914.58,27,Regulador y operador de máquinas y herramientas,14/01/1998,121.87.27.58,4567-XXXX-XXXX-8419,PE58114113186559518554
Esteban,Esteban Serra Mosquera,Serra,Serra Mosquera,20100234,10201002341,SB327696,(00) 195469,+51931218684,esteban.serra@finanzas.com,C. Catalina Luján 38 Puerta 1 ,Femenino,Mestiza,N/A,LGBTQ+,False,Técnico,1981-09-27,Cusco,Cusco,San Sebastián,080132,-13.495346204121791,-71.95676836210428,6249.58,44,Cartógrafo,27/09/1981,48.199.169.132,4154-XXXX-XXXX-7506,PE26153491142868901574
Georgina,Georgina Ramos Palomar,Ramos,Ramos Palomar,72792388,20727923889,RL167538,(02) 090517,+51979021994,georgina.ramos@construccion.com,C. Eusebia Murillo 1,No Binario,Afroperuana,Agnóstica,N/A,True,Técnico,1999-09-30,Junín,Huancayo,El Tambo,120101,-12.07202605829298,-75.16476511814987,2406.12,26,Ingeniero mecánico,30/09/1999,157.232.56.238,4917-XXXX-XXXX-9277,PE07344465362742173153
Alondra,Alondra Ponce Navarrete,Ponce,Ponce Navarrete,24658823,10246588235,GQ525781,(09) 852093,+51943072516,alondra.ponce@familia.es,Ronda Caridad Camacho 61,Femenino,Caucásica,Católica,Heterosexual,True,Técnico,1981-04-19,Arequipa,Arequipa,Yanahuara,040127,-16.38266987989098,-71.51375087410223,4110.83,44,Director de investigación y desarrollo,19/04/1981,35.97.116.61,4144-XXXX-XXXX-6874,PE03067304043742942776
Silvio,Silvio Santiago Vizcaíno,Santiago,Santiago Vizcaíno,67051438,20670514387,NK737703,(04) 695674,+51984129140,silvio.santiago@hnos.es,Pasaje de Zoraida Galvez 587 Apt. 84 ,No Binario,Andina,Otras,N/A,True,Secundaria,2005-01-06,Junín,Huancayo,El Tambo,120101,-12.060777793640128,-75.25346971853367,5181.13,20,Recolector de leña,06/01/2005,81.125.164.77,4044-XXXX-XXXX-1043,PE97947719935106949376
Candelario,Candelario Lladó Cánovas,Lladó,Lladó Cánovas,79630681,20796306819,XB884033,(01) 107438,+51930376558,candelario.lladó@gonzalez.com,Calle Candelas Montserrat 27,Masculino,Caucásica,Católica,LGBTQ+,True,Postgrado,1972-04-24,La Libertad,Trujillo,Huanchaco,130103,-8.073041903979293,-79.09510630482436,5542.04,53,Historiador,24/04/1972,149.78.69.241,4792-XXXX-XXXX-0632,PE86948208615704578845
Tamara,Tamara Castell Berenguer,Castell,Castell Berenguer,71744903,10717449030,BN433405,(03) 762188,+51969026066,tamara.castell@marino.es,Cañada de Edgardo Torrens 414,Masculino,Afroperuana,Otras,N/A,False,Primaria,1988-12-20,La Libertad,Trujillo,Huanchaco,130103,-8.059559297705778,-79.08984747651986,4317.54,36,Juez,20/12/1988,205.117.233.88,4200-XXXX-XXXX-9693,PE54837347224155675499
Dora,Dora Cabañas Sosa,Cabañas,Cabañas Sosa,78147355,10781473558,JM720566,(04) 738851,+51985441784,dora.cabañas@adelaida.com,Cuesta de Paloma Donaire 19 Piso 4 ,No Binario,Caucásica,Católica,N/A,False,Postgrado,1986-04-12,Arequipa,Arequipa,Yanahuara,040127,-16.404099399884934,-71.58171332468693,2980.67,39,Agente de empleo,12/04/1986,191.12.227.52,4897-XXXX-XXXX-5339,PE60171307879744127256
Patricio,Patricio Aranda Sanchez,Aranda,Aranda Sanchez,85632605,20856326050,GZ944560,(06) 291376,+51941121761,patricio.aranda@huertas.org,Plaza de Gastón Rosales 47,No Binario,Caucásica,Católica,Heterosexual,True,Postgrado,1966-06-27,Cusco,Cusco,San Sebastián,080132,-13.477978444575038,-72.0181762780598,2339.07,59,Profesional del trabajo social,27/06/1966,65.61.172.218,4697-XXXX-XXXX-4034,PE89964183505760263001
Ramiro,Ramiro Rincón Urrutia,Rincón,Rincón Urrutia,75826882,10758268829,DR964676,(00) 303364,+51911967035,ramiro.rincón@transportes.es,Pasadizo de Isaac Quirós 788 Piso 6 ,Masculino,Caucásica,Católica,Heterosexual,True,Postgrado,1975-04-15,Cusco,Cusco,San Sebastián,080132,-13.496037239600362,-71.93377532431083,5665.43,50,Tapicero,15/04/1975,73.61.191.46,4632-XXXX-XXXX-6658,PE87460630852484987217
Nazaret,Nazaret Escudero Beltran,Escudero,Escudero Beltran,93724042,10937240423,ZV378790,(09) 265749,+51927576570,nazaret.escudero@eli.net,Pasaje de Cornelio Espejo 87 Puerta 8 ,No Binario,Mestiza,Agnóstica,Heterosexual,False,Universitario,2003-02-21,La Libertad,Trujillo,Huanchaco,130103,-8.062730829562316,-79.10523238146185,5928.49,22,Audiólogo,21/02/2003,152.244.17.58,4177-XXXX-XXXX-6241,PE15825470031249862884
Imelda,Imelda Royo Alarcón,Royo,Royo Alarcón,94059393,20940593935,QH858583,(04) 701457,+51920966640,imelda.royo@servicios.com,Plaza de Pelayo Sarmiento 333,Femenino,Andina,Agnóstica,N/A,True,Técnico,2004-08-02,Junín,Huancayo,El Tambo,120101,-12.086884689641249,-75.2290549720725,4931.33,21,Mecánico y reparador de instrumentos de precisión,02/08/2004,63.47.251.204,4883-XXXX-XXXX-7932,PE90138634501079606429
Pelayo,Pelayo Solé Maldonado,Solé,Solé Maldonado,74386856,10743868568,LQ081305,(02) 078509,+51943309441,pelayo.solé@inversiones.net,Pasadizo Fermín Torrents 9,No Binario,Caucásica,N/A,N/A,True,Secundaria,1978-11-29,La Libertad,Trujillo,Huanchaco,130103,-8.040445220910426,-79.12870960714834,1678.61,46,Operador de maquinaria agrícola y forestal móvil,29/11/1978,23.161.59.200,4737-XXXX-XXXX-2915,PE70722976183598081504
Dionisia,Dionisia Mulet Salmerón,Mulet,Mulet Salmerón,59019005,20590190058,TB035090,(03) 156908,+51959539632,dionisia.mulet@suministros.es,Camino de Guiomar Soriano 31,Femenino,Caucásica,Agnóstica,LGBTQ+,False,Primaria,1964-03-04,La Libertad,Trujillo,Huanchaco,130103,-8.120080839548054,-79.08282447832184,3110.68,61,Guardagujas,04/03/1964,106.12.121.164,4697-XXXX-XXXX-3804,PE31799010624392938176
Nieves,Nieves Zurita Ariza,Zurita,Zurita Ariza,83140937,20831409372,PQ404409,(01) 959813,+51975525003,nieves.zurita@inversiones.com,Urbanización Edgardo Rivas 4 Piso 7 ,Masculino,Afroperuana,Católica,Heterosexual,True,Secundaria,1965-12-29,Cusco,Cusco,San Sebastián,080132,-13.532839398679199,-71.97875174556302,5403.73,59,Especialista en políticas y servicios de personal,29/12/1965,9.168.89.86,4448-XXXX-XXXX-6675,PE90897551548002467936
Zaira,Zaira Yáñez Cabañas,Yáñez,Yáñez Cabañas,80850014,10808500141,FK839614,(01) 357039,+51922257473,zaira.yáñez@lobo.com,Cañada Florentina Rincón 88 Puerta 8 ,Masculino,Andina,Católica,N/A,True,Postgrado,1969-12-15,Piura,Piura,Castilla,200103,-5.20418970515091,-80.6345990478896,2814.55,55,Recolector de basura y material reciclable,15/12/1969,143.150.94.30,4107-XXXX-XXXX-8875,PE71740980735848377135
Anselmo,Anselmo Ferreras Bauzà,Ferreras,Ferreras Bauzà,91295385,20912953852,BM566944,(02) 413267,+51991486692,anselmo.ferreras@amada.com,Glorieta de Vidal Martí 49 Apt. 41 ,Masculino,Mestiza,N/A,LGBTQ+,True,Primaria,2002-02-17,Piura,Piura,Castilla,200103,-5.205359891891104,-80.60677433747848,3748.41,23,Miembro de las fuerzas armadas,17/02/2002,133.249.51.52,4740-XXXX-XXXX-1873,PE58096885347008192758
Américo,Américo Barón Rivero,Barón,Barón Rivero,44828297,20448282976,TC071393,(03) 438788,+51913388820,américo.barón@somoza.es,Alameda Elías Rovira 27,Masculino,Andina,Agnóstica,Heterosexual,False,Secundaria,1999-12-20,La Libertad,Trujillo,Huanchaco,130103,-8.09716916907386,-79.10720566591668,5378.05,25,Constructor de casas,20/12/1999,155.4.4.81,4288-XXXX-XXXX-4670,PE04029537218547889103
Rosaura,Rosaura Benavent Vall,Benavent,Benavent Vall,66634828,20666348282,DD914486,(04) 474125,+51978874086,rosaura.benavent@hermanos.es,Avenida Silvia Llamas 93,Femenino,Mestiza,Católica,Heterosexual,True,Primaria,1967-08-13,Cusco,Cusco,San Sebastián,080132,-13.538523796918074,-72.0148398217992,6611.48,58,Costurero,13/08/1967,197.134.196.252,4915-XXXX-XXXX-5329,PE80588878594718274197
Francisco Javier,Francisco Javier Sanchez Luque,Sanchez,Sanchez Luque,22065566,10220655660,VF958471,(08) 341185,+51997422024,francisco javier.sanchez@promociones.es,Avenida de Amaro Llopis 71 Piso 8 ,Femenino,Caucásica,Otras,Heterosexual,True,Secundaria,1964-06-02,Cusco,Cusco,San Sebastián,080132,-13.519498330869114,-71.96618760992011,8999.04,61,Pintor y empapelador,02/06/1964,59.119.188.127,4888-XXXX-XXXX-2217,PE92273683300702937147
Matías,Matías Lobato Mosquera,Lobato,Lobato Mosquera,75908371,20759083716,XS043932,(00) 239993,+51984852279,matías.lobato@benjamin.es,Avenida de Rocío Arana 21 Apt. 53 ,Masculino,Andina,Católica,N/A,True,Secundaria,1980-02-14,Piura,Piura,Castilla,200103,-5.163681070201103,-80.6334030873102,4867.61,45,Especialista en políticas y servicios de personal,14/02/1980,216.212.53.24,4699-XXXX-XXXX-2097,PE07395419567045636123
Silvestre,Silvestre Cueto Simó,Cueto,Cueto Simó,55463442,10554634422,TC077208,(05) 851267,+51904760567,silvestre.cueto@manufacturas.com,Cuesta Godofredo Flores 81 Puerta 8 ,Masculino,Caucásica,Agnóstica,Heterosexual,True,Primaria,1974-05-01,Junín,Huancayo,El Tambo,120101,-12.109724837229743,-75.22991990261801,5893.23,51,Deportista,01/05/1974,101.236.10.30,4261-XXXX-XXXX-9497,PE83173820641408229016
Telmo,Telmo Linares Barba,Linares,Linares Barba,92307901,20923079018,LL093782,(05) 814610,+51942355867,telmo.linares@fabrica.com,Calle Jacinta Pomares 90,Femenino,Caucásica,Otras,Heterosexual,True,Técnico,1964-08-07,Piura,Piura,Castilla,200103,-5.181974822968706,-80.65673020486486,3427.98,61,Profesional de relaciones públicas,07/08/1964,183.129.195.220,4375-XXXX-XXXX-4428,PE10754066792412433555
Emigdio,Emigdio Puerta Ferrando,Puerta,Puerta Ferrando,86491305,10864913056,ZK295459,(08) 938028,+51981759154,emigdio.puerta@banca.com,Plaza de Tristán Cantero 11 Puerta 8 ,No Binario,Afroperuana,Católica,Heterosexual,True,Primaria,1983-10-09,Cusco,Cusco,San Sebastián,080132,-13.513355185666,-71.95576521099015,6935.4,41,Consignatario,09/10/1983,222.205.130.13,4421-XXXX-XXXX-9817,PE74808301769031402790
Florentina,Florentina Jurado Manrique,Jurado,Jurado Manrique,84515005,10845150050,CG949901,(01) 080354,+51928570020,florentina.jurado@compania.com,Camino José Ángel Ramis 171 Puerta 8 ,No Binario,Andina,Agnóstica,N/A,True,Universitario,1974-09-28,Cusco,Cusco,San Sebastián,080132,-13.4844134578075,-71.96973025968407,3983.87,51,Director financiero,28/09/1974,164.10.68.60,4981-XXXX-XXXX-5011,PE17408629198913230600
Ruth,Ruth Mascaró Zabaleta,Mascaró,Mascaró Zabaleta,97630266,10976302660,FV804793,(09) 856622,+51994360264,ruth.mascaró@familia.es,Acceso Feliciana Villaverde 311 Puerta 4 ,Masculino,Caucásica,N/A,Heterosexual,True,Secundaria,2005-04-05,Piura,Piura,Castilla,200103,-5.1976235664587485,-80.62569162018033,8037.3,20,Personal directivo de la administración pública,05/04/2005,68.69.162.63,4443-XXXX-XXXX-6277,PE23989364721395651155
Marcelino,Marcelino Bravo Querol,Bravo,Bravo Querol,34497699,20344976993,QB760732,(05) 478461,+51961070379,marcelino.bravo@infraestructuras.net,Pasadizo de Plinio Viña 28,Femenino,Afroperuana,Agnóstica,N/A,True,Secundaria,2000-10-24,Lima,Lima,Miraflores,150122,-12.130119256681791,-77.00049933484533,4363.81,24,Productor y trabajador calificado de explotaciones agropecuarias mixtas,24/10/2000,47.63.88.143,4616-XXXX-XXXX-6773,PE98051885882384048380
Nereida,Nereida Juárez Mercader,Juárez,Juárez Mercader,70402162,10704021620,CF616945,(01) 717079,+51982192902,nereida.juárez@arnal.com,Camino de Leocadio Borrell 3,Masculino,Afroperuana,N/A,LGBTQ+,True,Postgrado,1998-11-07,Piura,Piura,Castilla,200103,-5.1642196492152355,-80.58720980095528,7983.52,26,Operador de máquinas para fabricar productos de caucho,07/11/1998,55.234.108.246,4206-XXXX-XXXX-3606,PE40206087513577780624
Encarnita,Encarnita Domingo Tello,Domingo,Domingo Tello,72206670,10722066706,QQ429131,(02) 588884,+51951433536,encarnita.domingo@reyes.com,Pasadizo de Adán Pera 142,No Binario,Caucásica,Agnóstica,Heterosexual,True,Secundaria,1961-10-15,Piura,Piura,Castilla,200103,-5.231565274322171,-80.66871199014311,1955.72,63,Urbanistas e ingenieros de tránsito,15/10/1961,154.72.91.123,4520-XXXX-XXXX-8922,PE11685684103686494414
Eulalia,Eulalia Fábregas Ayllón,Fábregas,Fábregas Ayllón,87735131,10877351314,AC966718,(01) 263249,+51961558947,eulalia.fábregas@manufacturas.es,Pasaje de Eutropio Quesada 33,Masculino,Mestiza,Otras,LGBTQ+,True,Secundaria,1997-08-27,Lima,Lima,Miraflores,150122,-12.136829240393235,-77.04648303788251,5118.13,28,Operador de máquinas para fabricar cemento y otros productos minerales,27/08/1997,51.165.127.253,4890-XXXX-XXXX-2274,PE40578780663198948228
Rodolfo,Rodolfo Chacón Vall,Chacón,Chacón Vall,21463011,20214630114,HK135116,(01) 014063,+51994280979,rodolfo.chacón@industrias.es,Avenida Martina Rubio 79 Piso 3 ,Femenino,Afroperuana,Otras,Heterosexual,True,Primaria,1980-08-12,Lima,Lima,Miraflores,150122,-12.138739115297884,-77.02612390205279,3516.26,45,Cajero de banco,12/08/1980,108.158.77.11,4536-XXXX-XXXX-5632,PE75198197009497732499
Diana,Diana Viña Marquez,Viña,Viña Marquez,99980838,20999808387,GC500991,(08) 253448,+51941686468,diana.viña@aranda.com,Via Nazaret Llorens 409 Puerta 8 ,No Binario,Andina,Católica,N/A,False,Secundaria,1973-02-16,La Libertad,Trujillo,Huanchaco,130103,-8.118276987461309,-79.14652527879167,6854.98,52,Secretario administrativo,16/02/1973,163.87.181.220,4907-XXXX-XXXX-1617,PE73611746915503665933
Casandra,Casandra Arroyo Rivero,Arroyo,Arroyo Rivero,58627517,20586275178,XH242874,(02) 226493,+51935202351,casandra.arroyo@compania.net,Calle de Natalio Almeida 18,No Binario,Andina,Agnóstica,N/A,True,Primaria,1985-11-02,La Libertad,Trujillo,Huanchaco,130103,-8.074296125121842,-79.13270972202145,4516.75,39,Artista plástico,02/11/1985,69.207.250.82,4753-XXXX-XXXX-8207,PE51629703610785014790
Jose Ramón,Jose Ramón Larrañaga Falcón,Larrañaga,Larrañaga Falcón,29529741,10295297416,RA618065,(02) 616475,+51919971688,jose ramón.larrañaga@hermanos.org,Alameda Rico Gordillo 67,Masculino,Andina,Agnóstica,LGBTQ+,True,Universitario,1997-11-23,La Libertad,Trujillo,Huanchaco,130103,-8.076879227663765,-79.13709848556711,6223.45,27,Sericultor,23/11/1997,121.119.152.136,4893-XXXX-XXXX-3752,PE00574052359122051148
Bernardo,Bernardo Galán Santos,Galán,Galán Santos,23628878,10236288780,PC201758,(01) 158439,+51969946970,bernardo.galán@solana.org,C. de Sol Gonzalez 52,No Binario,Caucásica,Católica,LGBTQ+,True,Universitario,2004-09-14,La Libertad,Trujillo,Huanchaco,130103,-8.126961300299822,-79.11108428505568,4220.31,21,"Limpiador y asistente de oficinas, hoteles y otros establecimientos",14/09/2004,184.161.198.70,4496-XXXX-XXXX-1983,PE10241824651695992832
Salomón,Salomón Bernad Cerezo,Bernad,Bernad Cerezo,78151795,20781517958,GD068530,(05) 446351,+51918441972,salomón.bernad@soluciones.com,Paseo Reina Cuesta 518 Puerta 6 ,Masculino,Afroperuana,Agnóstica,N/A,True,Técnico,1993-07-27,La Libertad,Trujillo,Huanchaco,130103,-8.052522525338473,-79.10971498049979,3091.08,32,Periodista,27/07/1993,199.90.82.195,4183-XXXX-XXXX-5197,PE22103422064341018855
Gabino,Gabino Porcel Cordero,Porcel,Porcel Cordero,35378607,10353786076,QC463337,(09) 938953,+51954474444,gabino.porcel@promociones.es,Rambla Otilia Valera 86,Masculino,Caucásica,N/A,N/A,False,Universitario,2005-02-03,Arequipa,Arequipa,Yanahuara,040127,-16.3750107144221,-71.50615939340786,6164.45,20,Bailarín,03/02/2005,165.231.224.199,4526-XXXX-XXXX-6951,PE12809960222147526608
Iker,Iker Gilabert Sabater,Gilabert,Gilabert Sabater,36260846,20362608469,VH995654,(03) 364256,+51923454329,iker.gilabert@comercializadora.org,Plaza de Cristóbal Seco 3 Apt. 17 ,No Binario,Afroperuana,Agnóstica,LGBTQ+,False,Primaria,1991-09-01,Junín,Huancayo,El Tambo,120101,-12.043181725797135,-75.20970453471197,7315.28,34,Astrólogo,01/09/1991,65.117.240.36,4059-XXXX-XXXX-1293,PE49705936827190051466
Ariel,Ariel Canales Zapata,Canales,Canales Zapata,83721171,20837211711,ZK940130,(02) 180747,+51959203493,ariel.canales@restauracion.net,Cuesta de Herminia Pujol 97 Piso 5 ,No Binario,Mestiza,Otras,N/A,False,Secundaria,2000-10-18,Lima,Lima,Miraflores,150122,-12.087365267938509,-77.08116456753034,1753.78,24,Músico,18/10/2000,114.43.162.147,4363-XXXX-XXXX-9857,PE67384966595944752476
Fidel,Fidel Ramirez Llorens,Ramirez,Ramirez Llorens,98532252,20985322527,SK537887,(00) 715559,+51962237257,fidel.ramirez@inversiones.org,Via de José Manuel Cámara 18 Apt. 58 ,No Binario,Mestiza,N/A,LGBTQ+,True,Postgrado,1989-05-21,Cusco,Cusco,San Sebastián,080132,-13.56123363680219,-71.9848169950209,4984.2,36,Entrenador deportivo,21/05/1989,43.152.111.120,4573-XXXX-XXXX-4235,PE86926273346975445014
Rogelio,Rogelio Jordá Riba,Jordá,Jordá Riba,16402490,10164024904,ZB173008,(03) 155339,+51972409640,rogelio.jordá@supermercados.es,C. Ale Sola 85,Femenino,Caucásica,Agnóstica,N/A,False,Secundaria,1961-05-10,Cusco,Cusco,San Sebastián,080132,-13.56362076904684,-71.97371880453858,6910.79,64,Peón de explotaciones ganaderas,10/05/1961,145.29.217.23,4945-XXXX-XXXX-8744,PE66314191333233287079
Chus,Chus Maza Cuenca,Maza,Maza Cuenca,94317973,20943179737,AN848172,(00) 330135,+51978510689,chus.maza@landa.com,Cañada de Clímaco Mendez 510,No Binario,Andina,Católica,LGBTQ+,True,Secundaria,1990-11-23,Piura,Piura,Castilla,200103,-5.198030343540016,-80.64129879984404,5218.12,34,Cuidador de niños,23/11/1990,20.198.21.93,4209-XXXX-XXXX-7683,PE44570762692751472709
Andrea,Andrea Vélez Taboada,Vélez,Vélez Taboada,86992328,20869923281,MK164789,(07) 376689,+51941748376,andrea.vélez@martin.org,Rambla Belén Pallarès 9,No Binario,Andina,Católica,N/A,False,Primaria,1998-06-06,Lima,Lima,Miraflores,150122,-12.07840795384587,-77.04669634090989,3363.96,27,Empleado de servicios de correos,06/06/1998,124.127.104.23,4864-XXXX-XXXX-0435,PE38555653873126645570
Buenaventura,Buenaventura Vallejo Cabello,Vallejo,Vallejo Cabello,70509209,20705092097,XS791490,(07) 239971,+51965291912,buenaventura.vallejo@hermanos.com,Pasaje de Jesús Viña 25 Apt. 64 ,Masculino,Afroperuana,Católica,LGBTQ+,False,Primaria,1972-12-20,Piura,Piura,Castilla,200103,-5.179082354356286,-80.62929596816623,3403.69,52,Clasificador de productos,20/12/1972,222.97.105.8,4813-XXXX-XXXX-2698,PE14071281134270183099
Armando,Armando Pascual Sola,Pascual,Pascual Sola,56611245,10566112453,LL166627,(08) 905133,+51911767910,armando.pascual@despacho.es,Cuesta de Benito Valle 1 Puerta 9 ,Femenino,Mestiza,Otras,Heterosexual,False,Universitario,1991-02-08,Cusco,Cusco,San Sebastián,080132,-13.520812101737985,-71.97877880278405,4443.13,34,Supervisor de la construcción,08/02/1991,181.55.58.83,4085-XXXX-XXXX-4353,PE68676017421261469383
Rebeca,Rebeca Sarmiento Escolano,Sarmiento,Sarmiento Escolano,92536297,20925362979,AV440725,(00) 140944,+51930944880,rebeca.sarmiento@soluciones.es,Camino de María Fernanda Vidal 21 Piso 2 ,No Binario,Afroperuana,Católica,LGBTQ+,False,Primaria,2001-11-30,Arequipa,Arequipa,Yanahuara,040127,-16.40810030558622,-71.52658098044984,6326.68,23,Fabricante de instrumentos musicales,30/11/2001,70.250.49.130,4246-XXXX-XXXX-6915,PE57956738623232093464
Isidro,Isidro Álvarez Gárate,Álvarez,Álvarez Gárate,85742083,10857420837,XJ296331,(06) 595587,+51940450920,isidro.álvarez@transportes.net,Avenida de Gerónimo Lago 94 Puerta 8 ,Masculino,Mestiza,Agnóstica,LGBTQ+,True,Postgrado,2001-02-10,La Libertad,Trujillo,Huanchaco,130103,-8.05429008652252,-79.11727551603647,2515.71,24,Director de servicios de tecnología de la información y las comunicaciones,10/02/2001,217.235.205.230,4376-XXXX-XXXX-2394,PE91586989771231190914
Macarena,Macarena Angulo Cordero,Angulo,Angulo Cordero,98715299,10987152998,GJ720959,(07) 765224,+51934965421,macarena.angulo@jordi.org,Vial Sandra Mendez 317 Puerta 6 ,Masculino,Mestiza,Católica,Heterosexual,False,Universitario,1989-12-14,La Libertad,Trujillo,Huanchaco,130103,-8.04508916589088,-79.11231811958228,2061.8,35,Profesor de idiomas,14/12/1989,204.136.76.43,4984-XXXX-XXXX-9585,PE96850072873223779678
Emiliana,Emiliana Aguiló Ávila,Aguiló,Aguiló Ávila,17391363,20173913638,HS016316,(03) 882498,+51986618114,emiliana.aguiló@grupo.es,Via de Primitiva Casado 813,Masculino,Afroperuana,Agnóstica,LGBTQ+,False,Técnico,1962-11-20,Junín,Huancayo,El Tambo,120101,-12.081545924888806,-75.25012501650478,8428.06,62,Agente de administración tributaria,20/11/1962,119.82.206.133,4660-XXXX-XXXX-4814,PE40103747685212441144
Ricarda,Ricarda Arenas Roig,Arenas,Arenas Roig,44939239,10449392392,ZN859882,(09) 506877,+51985741596,ricarda.arenas@purificacion.net,Alameda Albino Oliva 436,No Binario,Caucásica,Católica,N/A,False,Postgrado,1983-09-11,Cusco,Cusco,San Sebastián,080132,-13.534557457032705,-72.0081997726619,6380.42,42,Técnico de telecomunicaciones,11/09/1983,49.77.37.94,4471-XXXX-XXXX-9973,PE97350812193339706850
Juanita,Juanita Sánchez Esteve,Sánchez,Sánchez Esteve,50489376,10504893768,QC591337,(09) 335752,+51956635153,juanita.sánchez@comercializadora.es,Pasaje de Raúl Bru 41 Piso 2 ,Masculino,Andina,Católica,N/A,True,Universitario,2002-08-04,Piura,Piura,Castilla,200103,-5.1744838533719015,-80.61292565337024,3012.52,23,Estadístico,04/08/2002,83.217.27.179,4127-XXXX-XXXX-0740,PE54318410013325261646
Eugenio,Eugenio Blanco Sales,Blanco,Blanco Sales,27916018,20279160186,TG514934,(01) 234225,+51927137107,eugenio.blanco@promociones.es,C. Cloe Rodriguez 11,Femenino,Andina,N/A,N/A,True,Secundaria,1994-06-24,Lima,Lima,Miraflores,150122,-12.150155389072891,-77.02012792858028,7615.94,31,Actuario,24/06/1994,210.138.102.135,4665-XXXX-XXXX-9414,PE05322664014189249367
Damián,Damián Ugarte Cabañas,Ugarte,Ugarte Cabañas,75996767,20759967670,FZ355349,(08) 414335,+51988506261,damián.ugarte@carreras.com,Vial de Julián Vendrell 6,Masculino,Mestiza,Agnóstica,Heterosexual,True,Técnico,1986-03-11,Junín,Huancayo,El Tambo,120101,-12.022113356678672,-75.2315932915335,2362.15,39,Analista financiero,11/03/1986,47.242.255.113,4950-XXXX-XXXX-5671,PE84674510905429704812
Miguela,Miguela Paz Polo,Paz,Paz Polo,24235268,10242352682,TZ952947,(01) 625693,+51971711658,miguela.paz@restauracion.es,Ronda Elisabet Benavente 74,Masculino,Mestiza,N/A,LGBTQ+,False,Postgrado,1993-11-07,Arequipa,Arequipa,Yanahuara,040127,-16.41863492052423,-71.54705761041969,2673.79,31,"Gerente de centros deportivos, de esparcimiento y culturales",07/11/1993,194.241.209.53,4828-XXXX-XXXX-2650,PE11789368166141199115
María Fernanda,María Fernanda Carlos Carnero,Carlos,Carlos Carnero,59335322,20593353222,TQ884172,(07) 792089,+51926528554,maría fernanda.carlos@talleres.com,Cuesta Alba Tormo 4,No Binario,Afroperuana,Agnóstica,N/A,True,Universitario,1978-08-15,Junín,Huancayo,El Tambo,120101,-12.044842505458305,-75.18144984432575,8038.18,47,Techador,15/08/1978,48.190.251.155,4196-XXXX-XXXX-0183,PE46709377588989838419
Daniela,Daniela Canales Bastida,Canales,Canales Bastida,63259268,10632592682,VV699776,(01) 632834,+51976285551,daniela.canales@cal.net,Calle Gerardo Sebastián 19,Femenino,Afroperuana,Católica,LGBTQ+,False,Secundaria,1970-09-01,Junín,Huancayo,El Tambo,120101,-12.110152869586141,-75.15793320833718,2121.06,55,Mecánico-montador de instalaciones de refrigeración y climatización,01/09/1970,6.105.74.118,4539-XXXX-XXXX-8156,PE59241917989844593017
Judith,Judith Clavero Vara,Clavero,Clavero Vara,66499775,20664997758,TQ336311,(02) 775064,+51928667843,judith.clavero@ramirez.com,Calle Román Campo 71 Apt. 29 ,No Binario,Mestiza,Católica,Heterosexual,True,Postgrado,1971-07-30,La Libertad,Trujillo,Huanchaco,130103,-8.076622848807386,-79.10552212520452,5013.07,54,Químico,30/07/1971,119.114.103.68,4615-XXXX-XXXX-6914,PE54767504115932061672
Dulce,Dulce Martínez Águila,Martínez,Martínez Águila,96319452,10963194521,FS551748,(06) 220863,+51967910431,dulce.martínez@manufacturas.com,Glorieta Valero Llabrés 90,Femenino,Andina,Agnóstica,Heterosexual,False,Técnico,1987-09-08,Cusco,Cusco,San Sebastián,080132,-13.535908714808059,-71.93449035531701,3350.38,38,Empleado del servicio de personal,08/09/1987,62.15.105.163,4692-XXXX-XXXX-9049,PE01073540805940592735
